country_feature,age_feature,days_since_first_funding,category_score,market_score,postA_tweet_num,postA_tweet_freq,postA_tweet_avglength,postA_tweet_content_richness,postA_tweet_interactiveness,tweets_pos_topic_score,tweets_neg_topic_score,tweets_neg_sent_score,tweets_neu_sent_score,tweets_pos_sent_score,tweets_compound_sent_score,WILL
1,1735.0,1735,213.59251199,265.00846581,4988,95.92307692307692,91.1770248596632,0.41118684843624703,1.0068163592622297,0.011208099,0.015147722,0.01325,0.78383,0.20292,0.242244,0
1,974.0,595,314.34953718,356.91184330000004,461,7.435483870967742,109.78091106290672,1.89587852494577,1.8741865509761388,0.014848173,0.010931264,0.01926,0.79842,0.18232,0.214939,1
1,1735.0,1401,72.18170746,202.52018661,745,27.16145833333333,81.94496644295302,0.3261744966442953,0.20536912751677847,0.0098924721,0.0069983825,0.0075299999999999985,0.8618399999999999,0.13061,0.157094,1
0,1917.0,1825,103.56816297,256.91443481,6,0.5316455696202531,77.0,0.0,0.3333333333333333,0.006668466600000001,0.008181426700000001,0.0,0.88166667,0.11833333,0.098666667,0
0,1825.0,1039,197.25458771,90.02217912,161,3.6006389776357826,116.13664596273293,1.3664596273291925,0.6149068322981367,0.006707401,0.013532802,0.02034,0.8538600000000001,0.12579,0.181726,0
1,1705.0,1705,113.31515983,269.58455843,48,0.8983957219251337,58.66666666666666,0.04166666666666666,1.75,0.008810535100000001,0.0043768669,0.032,0.6305,0.3375,0.2087625,1
0,2487.0,2190,185.06716215,269.58455843,714,13.730769230769232,115.5672268907563,0.10084033613445376,0.18347338935574228,0.0097183818,0.021231312,0.04968,0.77987,0.17046,0.205313,0
1,2159.0,1279,286.37758503,303.29968214,110,3.055555555555556,110.13636363636364,0.7454545454545455,0.9090909090909092,0.0034414353,0.0041259015,0.00286,0.88245,0.11469,0.154055,1
1,2556.0,2190,25.5415087,181.49914088,860,7.359413202933985,105.23720930232555,0.14534883720930233,1.1372093023255814,0.0091825239,0.0085215149,0.05129,0.82463,0.12406,0.136853,1
1,1613.0,1521,347.07091495,333.13595459,50,0.7575757575757576,97.64,0.52,2.88,0.010709981,0.012317412,0.01144,0.8774799999999999,0.11108,0.159892,1
