key,positive_count,negative_count,total_count,pos_minus_neg_count
diabetes,1,0,1,1
mobile analytics,1,0,1,1
online identity,1,0,1,1
wealth management,1,0,1,1
app discovery,1,0,1,1
content creators,1,0,1,1
wind,1,0,1,1
families,1,0,1,1
farming,1,0,1,1
social media agent,1,0,1,1
health services industry,1,0,1,1
console gaming,1,0,1,1
industrial energy efficiency,1,0,1,1
sunglasses,1,0,1,1
postal and courier services,1,0,1,1
biometrics,1,0,1,1
embedded hardware and software,1,0,1,1
digital entertainment,1,0,1,1
events,30,30,60,0
hospitality,28,28,56,0
twitter applications,26,26,52,0
restaurants,18,18,36,0
document management,6,6,12,0
contact management,5,5,10,0
concerts,5,5,10,0
career planning,4,4,8,0
service providers,4,4,8,0
environmental innovation,3,3,6,0
theatre,3,3,6,0
mobile social,3,3,6,0
brokers,3,3,6,0
data mining,3,3,6,0
high schools,3,3,6,0
travel & tourism,2,2,4,0
sensors,2,2,4,0
social media advertising,2,2,4,0
smart grid,2,2,4,0
dod/military,2,2,4,0
property management,2,2,4,0
craigslist killers,2,2,4,0
digital rights management,2,2,4,0
algorithms,2,2,4,0
auto,2,2,4,0
photo editing,2,2,4,0
email newsletters,2,2,4,0
pharmaceuticals,2,2,4,0
charter schools,1,1,2,0
content delivery,1,1,2,0
webos,1,1,2,0
governments,1,1,2,0
simulation,1,1,2,0
advertising networks,1,1,2,0
contests,1,1,2,0
spas,1,1,2,0
corporate training,1,1,2,0
cosmetics,1,1,2,0
data center infrastructure,1,1,2,0
clinical trials,1,1,2,0
freetoplay gaming,1,1,2,0
consumer behavior,1,1,2,0
licensing,1,1,2,0
business information systems,1,1,2,0
educational games,1,1,2,0
product design,1,1,2,0
outdoors,1,1,2,0
commodities,1,1,2,0
niche specific,1,1,2,0
supply chain management,1,1,2,0
web browsers,1,1,2,0
estimation and quoting,1,1,2,0
hedge funds,1,1,2,0
networking,57,58,115,-1
sports,34,35,69,-1
web design,13,14,27,-1
nonprofits,12,13,25,-1
art,12,13,25,-1
lead generation,11,12,23,-1
venture capital,11,12,23,-1
cars,8,9,17,-1
freelancers,7,8,15,-1
collaborative consumption,7,8,15,-1
local businesses,6,7,13,-1
social buying,6,7,13,-1
graphics,5,6,11,-1
manufacturing,5,6,11,-1
3d,4,5,9,-1
mmo games,4,5,9,-1
image recognition,3,4,7,-1
video chat,3,4,7,-1
iaas,3,4,7,-1
semiconductors,2,3,5,-1
bridging online and offline,2,3,5,-1
exercise,2,3,5,-1
celebrity,2,3,5,-1
energy management,2,3,5,-1
risk management,2,3,5,-1
women,2,3,5,-1
test and measurement,1,2,3,-1
new product development,1,2,3,-1
industrial,1,2,3,-1
energy,1,2,3,-1
virtual workforces,1,2,3,-1
professional networking,1,2,3,-1
plumbers,1,2,3,-1
demographies,1,2,3,-1
local coupons,1,2,3,-1
mobile shopping,1,2,3,-1
e-books,1,2,3,-1
lighting,1,2,3,-1
software compliance,1,2,3,-1
non profit,1,2,3,-1
neuroscience,0,1,1,-1
gift registries,0,1,1,-1
english-speaking,0,1,1,-1
gold,0,1,1,-1
business analytics,0,1,1,-1
emerging markets,0,1,1,-1
franchises,0,1,1,-1
realtors,0,1,1,-1
moneymaking,0,1,1,-1
direct sales,0,1,1,-1
registrars,0,1,1,-1
food processing,0,1,1,-1
lingerie,0,1,1,-1
carbon,0,1,1,-1
indians,0,1,1,-1
direct advertising,0,1,1,-1
online video advertising,0,1,1,-1
craft beer,0,1,1,-1
edutainment,0,1,1,-1
university students,0,1,1,-1
intellectual asset management,0,1,1,-1
chemicals,0,1,1,-1
cyber security,0,1,1,-1
text analytics,0,1,1,-1
bicycles,0,1,1,-1
comics,0,1,1,-1
web hosting,27,29,56,-2
testing,8,10,18,-2
professional services,5,7,12,-2
tutoring,4,6,10,-2
visualization,3,5,8,-2
augmented reality,3,5,8,-2
business development,3,5,8,-2
social bookmarking,2,4,6,-2
adventure travel,2,4,6,-2
vertical search,2,4,6,-2
all markets,1,3,4,-2
advice,1,3,4,-2
sns,1,3,4,-2
polling,1,3,4,-2
rental housing,0,2,2,-2
teenagers,0,2,2,-2
online auctions,0,2,2,-2
virtual currency,0,2,2,-2
sponsorship,0,2,2,-2
usability,0,2,2,-2
angels,0,2,2,-2
product development services,0,2,2,-2
iphone,69,72,141,-3
coupons,19,22,41,-3
small and medium businesses,16,19,35,-3
parenting,6,9,15,-3
group buying,5,8,13,-3
creative,4,7,11,-3
stock exchanges,3,6,9,-3
distribution,2,5,7,-3
renewable energies,2,5,7,-3
certification test,2,5,7,-3
qr codes,2,5,7,-3
charity,2,5,7,-3
natural language processing,1,4,5,-3
nightlife,1,4,5,-3
babies,1,4,5,-3
staffing firms,0,3,3,-3
humanitarian,0,3,3,-3
file sharing,20,24,44,-4
sms,11,15,26,-4
public relations,8,12,20,-4
classifieds,4,8,12,-4
entrepreneur,4,8,12,-4
virtual goods,1,5,6,-4
knowledge management,0,4,4,-4
kids,9,14,23,-5
online rental,3,8,11,-5
tourism,3,8,11,-5
user experience design,2,7,9,-5
online reservations,2,7,9,-5
incubators,1,6,7,-5
discounts,10,16,26,-6
online dating,6,12,18,-6
legal,5,11,16,-6
shopping,19,27,46,-8
consulting,15,23,38,-8
curated web,272,282,554,-10
